iter	MAE	RMSE
0	14.22056771	17.18927728
1	13.65202062	16.53610759
2	13.13667329	15.95856574
3	12.62782146	15.36875659
4	12.15515751	14.82215064
5	11.68738861	14.28286943
6	11.23062478	13.78516348
7	10.81622685	13.30688359
8	10.44331994	12.89041996
9	10.08649527	12.49473354
10	9.748855636	12.09653781
11	9.455011188	11.75050065
12	9.167200851	11.40534198
13	8.885255111	11.06916523
14	8.618767785	10.76677577
15	8.379333624	10.48919365
16	8.138875882	10.2180866
17	7.905084809	9.947385262
18	7.689372547	9.683019698
19	7.497923349	9.459822728
20	7.300970761	9.225539308
21	7.126794345	9.012361964
22	6.949652796	8.803722104
23	6.779838074	8.605172944
24	6.640117675	8.432519126
25	6.488696267	8.255279405
26	6.370546835	8.104581805
27	6.25421017	7.964144777
28	6.143840444	7.821366
29	6.039179023	7.691317263
30	5.951842116	7.582027018
31	5.848322196	7.449881914
32	5.754237171	7.329184114
33	5.674053171	7.227229875
34	5.616247592	7.149335904
35	5.548605329	7.065561291
36	5.48483302	6.988949608
37	5.416339528	6.905845768
38	5.359739381	6.836511273
39	5.296484042	6.756491155
40	5.240871444	6.68499557
41	5.184658132	6.617541545
42	5.130423603	6.55047196
43	5.080930913	6.48960621
44	5.03726329	6.434103844
45	4.991283627	6.378118547
46	4.954213066	6.334291097
47	4.911078801	6.284358449
48	4.869521697	6.232866795
49	4.840186212	6.19825424
50	4.80391928	6.153335068
51	4.769700341	6.113765572
52	4.74185697	6.083413218
53	4.708330374	6.04348249
54	4.678433481	6.009973434
55	4.648275922	5.977326892
56	4.622558204	5.946810918
57	4.598403522	5.918691767
58	4.571317097	5.889223477
59	4.543305755	5.859590985
60	4.520391813	5.833241343
61	4.496687401	5.807411453
62	4.477357569	5.785573389
63	4.454644138	5.760329589
64	4.435868087	5.739359405
65	4.415873147	5.717448085
66	4.400696545	5.698878195
67	4.38588943	5.682565661
68	4.369912851	5.663464983
69	4.350429126	5.643012629
70	4.334193466	5.625171632
71	4.320248657	5.610104434
72	4.309227862	5.598174402
73	4.296550613	5.583143858
74	4.286613729	5.572549459
75	4.274024318	5.556771096
76	4.259357401	5.542726755
77	4.247930978	5.528455848
78	4.239525097	5.51834093
79	4.228488966	5.506370612
80	4.219419988	5.49378606
81	4.213403925	5.486206602
82	4.205418163	5.476319594
83	4.198974128	5.468589653
84	4.191495994	5.459968457
85	4.184975205	5.451428621
86	4.181004096	5.446279606
87	4.176286407	5.440183575
88	4.1689044	5.432034501
89	4.162346566	5.423998702
90	4.152724241	5.412432185
91	4.144434115	5.403933083
92	4.136927415	5.396603365
93	4.12950764	5.388993202
94	4.125919028	5.383629087
95	4.120488143	5.375775775
96	4.113040314	5.367820103
97	4.111388523	5.365874113
98	4.10540421	5.359324526
99	4.099065073	5.352507966
100	4.095077092	5.347818246
101	4.09050597	5.342061476
102	4.087198082	5.338213874
103	4.07941374	5.329921991
104	4.073029375	5.323137308
105	4.065101919	5.315400632
106	4.058531059	5.306928158
107	4.049795469	5.298336042
108	4.044841648	5.29384333
109	4.038296446	5.286115559
110	4.032731396	5.278893336
111	4.028089016	5.273464496
112	4.022801645	5.2663429
113	4.018015095	5.261194203
114	4.011951495	5.253755194
115	4.005626136	5.246948902
116	3.998599143	5.238830334
117	3.99510863	5.235803328
118	3.990554583	5.23129641
119	3.986071226	5.226291642
120	3.982657286	5.222951974
121	3.975122833	5.215002476
122	3.970424086	5.209597317
123	3.965543734	5.204488758
124	3.958326481	5.195814942
125	3.953273106	5.19073157
126	3.949848939	5.187044396
127	3.944273245	5.180610135
128	3.941102577	5.176695707
129	3.936626755	5.172019181
130	3.929518401	5.164132908
131	3.924808798	5.157366467
132	3.920719316	5.15217626
