iter	Passed	Remaining
0	51	51123
1	114	56985
2	175	58202
3	235	58622
4	286	57016
5	347	57651
6	425	60335
7	512	63587
8	588	64768
9	654	64826
10	718	64592
11	781	64371
12	853	64771
13	917	64593
14	979	64317
15	1041	64040
16	1100	63646
17	1160	63297
18	1222	63127
19	1282	62863
20	1374	64090
21	1433	63729
22	1494	63468
23	1555	63239
24	1613	62928
25	1674	62712
26	1734	62502
27	1796	62375
28	1855	62129
29	1905	61603
30	1967	61499
31	2035	61587
32	2096	61424
33	2167	61585
34	2229	61466
35	2292	61375
36	2341	60951
37	2401	60785
38	2462	60672
39	2521	60515
40	2581	60375
41	2643	60306
42	2704	60201
43	2764	60060
44	2830	60073
45	2891	59961
46	2953	59893
47	3011	59734
48	3072	59628
49	3131	59493
50	3191	59387
51	3250	59255
52	3305	59058
53	3364	58942
54	3424	58836
55	3488	58799
56	3552	58772
57	3613	58693
58	3674	58603
59	3735	58515
60	3798	58471
61	3860	58408
62	3941	58624
63	4031	58959
64	4112	59149
65	4174	59072
66	4234	58970
67	4297	58898
68	4360	58836
69	4427	58824
70	4486	58709
71	4547	58611
72	4606	58490
73	4664	58373
74	4724	58273
75	4788	58219
76	4855	58206
77	4916	58114
78	4985	58123
79	5063	58228
80	5124	58146
81	5183	58034
82	5253	58036
83	5317	57989
84	5377	57886
85	5438	57798
86	5497	57694
87	5557	57595
88	5619	57515
89	5676	57397
90	5736	57304
91	5813	57379
92	5877	57323
93	5937	57230
94	6000	57159
95	6065	57112
96	6124	57014
97	6146	56568
98	6206	56485
99	6265	56387
100	6324	56293
101	6391	56268
102	6450	56176
103	6509	56079
104	6570	56008
105	6631	55927
106	6697	55896
107	6757	55809
108	6819	55748
109	6878	55651
110	6934	55539
111	6995	55460
112	7053	55369
113	7116	55305
114	7176	55230
115	7235	55136
116	7296	55063
117	7370	55088
118	7430	55013
119	7492	54941
120	7551	54858
121	7621	54850
122	7720	55048
123	7781	54969
124	7841	54888
125	7901	54807
126	7961	54725
127	8020	54640
128	8079	54552
129	8137	54461
130	8198	54386
131	8263	54338
132	8329	54297
133	8395	54254
134	8461	54217
135	8528	54182
136	8587	54097
137	8650	54031
138	8745	54173
139	8822	54197
140	8884	54123
141	8946	54057
142	9006	53974
143	9065	53891
144	9125	53808
145	9188	53746
146	9248	53666
147	9306	53577
148	9379	53572
149	9441	53504
150	9501	53419
151	9559	53333
152	9621	53262
153	9683	53195
154	9747	53139
155	9809	53069
156	9869	52993
157	9929	52913
158	9992	52855
159	10067	52852
160	10130	52793
161	10191	52718
162	10256	52666
163	10323	52622
164	10390	52584
165	10451	52508
166	10512	52437
167	10570	52349
168	10631	52277
169	10691	52201
170	10766	52193
171	10824	52109
172	10886	52040
173	10948	51971
174	11017	51938
175	11077	51862
176	11154	51866
177	11216	51799
178	11284	51756
179	11343	51673
180	11407	51618
181	11473	51566
182	11533	51491
183	11599	51440
184	11666	51395
185	11738	51373
186	11818	51382
187	11880	51314
188	11942	51247
189	12007	51189
190	12071	51129
191	12130	51048
192	12191	50974
193	12252	50902
194	12309	50815
195	12368	50735
196	12429	50663
197	12489	50590
198	12547	50506
199	12614	50458
200	12670	50366
201	12728	50285
202	12801	50258
203	12863	50193
204	12924	50120
205	12982	50038
206	13040	49955
207	13097	49870
208	13158	49801
209	13217	49721
210	13277	49647
211	13335	49567
212	13396	49496
213	13458	49431
214	13518	49358
215	13615	49418
216	13682	49369
217	13746	49311
218	13806	49238
219	13865	49158
220	13927	49093
221	13986	49016
222	14045	48939
223	14103	48858
224	14166	48795
225	14232	48744
226	14290	48663
227	14349	48585
228	14407	48508
229	14463	48421
230	14523	48347
231	14590	48300
232	14650	48227
233	14711	48157
234	14789	48143
235	14868	48134
236	14938	48093
237	14996	48013
238	15055	47937
239	15117	47870
240	15186	47827
241	15255	47784
242	15315	47711
243	15373	47631
244	15434	47564
245	15495	47494
246	15555	47421
247	15615	47351
248	15676	47281
249	15741	47225
250	15811	47181
251	15880	47137
252	15952	47100
253	16020	47052
254	16087	46999
255	16152	46943
256	16215	46878
257	16278	46817
258	16337	46742
259	16399	46676
260	16463	46615
261	16532	46569
262	16623	46583
263	16717	46606
264	16798	46591
265	16874	46562
266	16935	46494
267	16995	46421
268	17057	46352
269	17117	46280
270	17178	46210
271	17241	46147
272	17306	46087
273	17371	46029
274	17435	45967
275	17499	45904
276	17564	45845
277	17629	45786
278	17693	45723
279	17754	45655
280	17814	45582
281	17874	45509
282	17935	45440
283	17992	45361
284	18051	45287
285	18110	45212
286	18172	45145
287	18232	45073
288	18295	45010
289	18353	44933
290	18412	44860
291	18471	44788
292	18530	44713
293	18590	44643
294	18648	44566
295	18707	44493
296	18767	44423
297	18824	44345
298	18883	44271
299	18941	44197
300	19002	44128
301	19062	44057
302	19119	43981
303	19177	43906
304	19234	43830
305	19294	43758
306	19351	43682
307	19407	43604
308	19466	43532
309	19525	43459
310	19586	43393
311	19647	43325
312	19706	43253
313	19765	43181
314	19826	43115
315	19890	43054
316	19954	42992
317	20028	42954
318	20105	42920
319	20169	42861
320	20236	42805
321	20305	42755
322	20395	42748
323	20478	42725
324	20550	42682
325	20616	42623
326	20702	42608
327	20765	42544
328	20831	42485
329	20891	42416
330	20951	42346
331	21013	42280
332	21087	42237
333	21162	42198
334	21227	42137
335	21290	42073
336	21355	42014
337	21429	41971
338	21495	41912
339	21556	41845
